№;Тип установи;Код за ЄДРПОУ;Повне найменування;Повна адреса;ПІБ керівника;Дата видачі
1851;Ломбард;30557385;"Повне товариство ""Ломбард ""Гемма"" Чаріна, Поздняков і К""";51200 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, НОВОМОСКОВСЬКИЙ РАЙОН НОВОМОСКОВСЬК, Сучкова, буд.2а;Туркенич Юрій Зіновійович;24.06.2004
1852;Кредитна спілка;26405817;"КРЕДИТНА СПІЛКА ""ЕПСІЛОН""";02125 КИЇВ, КИЇВ 125, ПРОСПЕКТ ВИЗВОЛИТЕЛІВ, буд.1;Грабовецький Юрій Олексійович;24.06.2004
1853;Кредитна спілка;26371509;Кредитна спілка “Єднання через Природний Закон”;53400 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, МАРГАНЕЦЬ, МІСТО МАРГАНЕЦЬ, Паркова, буд.12;Трифонов  Микола Васильович;24.06.2004
1854;Кредитна спілка;26284578;Херсонська обласна Кредитна спілка “Благо”;73000 ХЕРСОНСЬКА ОБЛАСТЬ, ХЕРСОН, МІСТО ХЕРСОН, Чорноморська, буд.10, оф.(кв.)33;Міхєєнко Ігор Володимирович;24.06.2004
1855;Кредитна спілка;26159399;Кредитна Cпілка підприємців та аграріїв Криму “Профі”;95011 АВТОНОМНА РЕСПУБЛІКА КРИМ, СІМФЕРОПОЛЬ СІМФЕРОПОЛЬ, Маяковського, буд.12;Юранік Юрій Анатолійович;24.06.2004
1856;Кредитна спілка;25958052;КРЕДИТНА СПІЛКА „КИЇВСЬКЕ МІСЬКЕ КРЕДИТНЕ ТОВАРИСТВО”;02166 КИЇВ, КИЇВ 166, проспект Лісовий, буд.25;Барсуков Валерій Альбертович;24.06.2004
1857;Кредитна спілка;25921103;Кредитна спілка “Грицева калитка”;30455 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ШЕПЕТІВСЬКИЙ РАЙОН ГРИЦІВ, Миру, буд.18, оф.(кв.)1;Бондар Євгенія Миколаївна;24.06.2004
1858;Кредитна спілка;25876839;"Кредитна спілка ""Добродій""";94100 ЛУГАНСЬКА ОБЛАСТЬ, БРЯНКА, МІСТО БРЯНКА, Дворцова, буд.Палац культури, оф.23;Панчищенко Наталія Петрівна;24.06.2004
1859;Кредитна спілка;25870009;"Кредитна спілка ""Мілове-Кредит""";92500 ЛУГАНСЬКА ОБЛАСТЬ, МІЛОВСЬКИЙ РАЙОН МІЛОВЕ, Дружби Народів, буд.113;Медведєв Олег Анатолійович;24.06.2004
1860;Кредитна спілка;25860235;Кредитна спілка “Наша справа”;63701 ХАРКІВСЬКА ОБЛАСТЬ, КУП'ЯНСЬКИЙ РАЙОН КУП'ЯНСЬК,  Садова, буд.4, корп.-;Головаш  Тетяна Іванівна;24.06.2004
1861;Кредитна спілка;25675673;"Кредитна спілка ""Полісся-кредит""";34400 РІВНЕНСЬКА ОБЛАСТЬ, КУЗНЕЦОВСЬК, МІСТО КУЗНЕЦОВСЬК, мікрорайон Будівельників, буд.2;Царик Василина Сидорівна;24.06.2004
1862;Кредитна спілка;22396398;"Кредитна спілка ""Щедрість""";81300 ЛЬВІВСЬКА ОБЛАСТЬ, МОСТИСЬКИЙ РАЙОН МОСТИСЬКА, Будзиновського, буд.7; Боса  Марія Іванівна;24.06.2004
1863;Кредитна спілка;21929473;"Кредитна спілка ""ДОБРОБУТ""";49023 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРО, Мануйлівський, буд.11/32;Абліцов Дмитро Вікторович;24.06.2004
1864;Кредитна спілка;26485222;"КРЕДИТНА СПІЛКА ""КРЕЗ КАПІТАЛ""";79021 ЛЬВІВСЬКА ОБЛАСТЬ, ЛЬВІВ, МІСТО ЛЬВІВ, САДОВА, буд.9 А;МАЦІЄВСЬКИЙ МИКОЛА ВЯЧЕСЛАВОВИЧ;22.06.2004
1865;Кредитна спілка;26358087;"Кредитна спілка ""ДОБРОБУТ""";20603 ЧЕРКАСЬКА ОБЛАСТЬ, ШПОЛЯНСЬКИЙ РАЙОН ШПОЛА, СОБОРНА, буд.10;Пресліцька   Лариса Едуардівна;22.06.2004
1866;Кредитна спілка;26338914;"Кредитна спілка ""Актив""";71503 ЗАПОРІЗЬКА ОБЛАСТЬ, ЕНЕРГОДАР, МІСТО ЕНЕРГОДАР, Центральна, буд.4;Гардер Ірина Миколаївна;22.06.2004
1867;Кредитна спілка;26318679;Кредитна спілка “Фортуна”;86211 ДОНЕЦЬКА ОБЛАСТЬ, ШАХТАРСЬКИЙ РАЙОН ШАХТАРСЬК, Мікрорайон 7, буд.22;Татарінова Ірина Олександрівна;22.06.2004
1868;Кредитна спілка;26272983;"Кредитна спілка ""Кафа""";98100 АВТОНОМНА РЕСПУБЛІКА КРИМ, ФЕОДОСІЯ ФЕОДОСІЯ, Назукіна, буд.1;Козирев Іван Василійович;22.06.2004
1869;Кредитна спілка;26135312;"Кредитна Спілка ""Копілка""";16703 ЧЕРНІГІВСЬКА ОБЛАСТЬ, ІЧНЯНСЬКИЙ РАЙОН ІЧНЯ,  провулок Міліцейський, буд.5 приміщення 4;Загорулько Крістіна Вікторівна;22.06.2004
1870;Кредитна спілка;25629294;Кредитна спілка “Єдність-1”;95015 АВТОНОМНА РЕСПУБЛІКА КРИМ, СІМФЕРОПОЛЬ СІМФЕРОПОЛЬ, Об`їздна, буд.10, оф.4;Журенкова Лариса Володимировна;22.06.2004
1871;Кредитна спілка;24798965;Кредитна спілка “МДН”;87535 ДОНЕЦЬКА ОБЛАСТЬ, МАРІУПОЛЬ, МІСТО МАРІУПОЛЬ, проспект Ілліча, буд.144;Савченко Аліна Вікторівна;22.06.2004
1872;Кредитна спілка;25881007;"Кредитна спілка ""Київська кредитна компанія""";02091 КИЇВ, КИЇВ 91, Харківське шосе, буд.121, оф.оф. 215;Яцюк Михайло Іванович;17.06.2004
1873;Кредитна спілка;26523149;"Кредитна спілка ""Шанс-Плюс""";35500 РІВНЕНСЬКА ОБЛАСТЬ, РАДИВИЛІВСЬКИЙ РАЙОН РАДИВИЛІВ, Бульвар Черняка, буд.4;Лабанов  Анатолій Павлович;15.06.2004
1874;Кредитна спілка;26515575;"Кредитна спілка ""Партнер - Плюс""";30500 ХМЕЛЬНИЦЬКА ОБЛАСТЬ, ПОЛОНСЬКИЙ РАЙОН ПОЛОННЕ, Лесі Українки, буд.109, оф.(кв.)46;Поліщук  Олександр Олександрович;15.06.2004
1875;Кредитна спілка;25998181;"Кредитна спілка ""Нарцис""";90400 ЗАКАРПАТСЬКА ОБЛАСТЬ, ХУСТСЬКИЙ РАЙОН ХУСТ, 900-річчя Хуста, буд.3, оф.(кв.)3;Ряска  Оксана Іванівна;15.06.2004
1876;Кредитна спілка;25943180;"Кредитна спілка ""Моя Скарбниця""";01042 КИЇВ, КИЇВ 42, б-р Дружби Народів, буд.25;Головньова Кристіна Віталіївна;15.06.2004
1877;Кредитна спілка;25892726;"Кредитна спілка ""Довіра""";93500 ЛУГАНСЬКА ОБЛАСТЬ, НОВОАЙДАРСЬКИЙ РАЙОН НОВОАЙДАР, НЕЗАЛЕЖНОСТІ, буд.4;Нікітенко Тетяна Миколаївна;15.06.2004
1878;Кредитна спілка;25827545;Херсонська обласна кредитна спілка “Єдність”;73000 ХЕРСОНСЬКА ОБЛАСТЬ, ХЕРСОН, МІСТО ХЕРСОН, вул.Гмирьова, буд.8;Арсьонов  Олег Валентинович;15.06.2004
1879;Кредитна спілка;25626159;Кримська кредитна спілка “Ресурс”;95044 АВТОНОМНА РЕСПУБЛІКА КРИМ, СІМФЕРОПОЛЬ СІМФЕРОПОЛЬ, Залеська, буд.76;Єременко Максим Васильович;15.06.2004
1880;Кредитна спілка;25080276;"Кредитна спілка ""Скарбниця""";59000 ЧЕРНІВЕЦЬКА ОБЛАСТЬ, СТОРОЖИНЕЦЬКИЙ РАЙОН СТОРОЖИНЕЦЬ, О.Кобилянської, буд.1;Кушнір  Любов  Степанівна;15.06.2004
1881;Кредитна спілка;25076932;"Кредитна спілка ""Самопоміч""";59300 ЧЕРНІВЕЦЬКА ОБЛАСТЬ, КІЦМАНСЬКИЙ РАЙОН КІЦМАНЬ, Незалежності, буд.85А;Королюк Марія Іллівна;15.06.2004
1882;Кредитна спілка;25076043;"Кредитна спілка ""Скриня""";59400 ЧЕРНІВЕЦЬКА ОБЛАСТЬ, ЗАСТАВНІВСЬКИЙ РАЙОН ЗАСТАВНА, Чорновола, буд.4;Тимочко Павло Іванович;15.06.2004
1883;Кредитна спілка;23594195;Кредитна спілка “Народна скарбниця”;48702 ТЕРНОПІЛЬСЬКА ОБЛАСТЬ, БОРЩІВСЬКИЙ РАЙОН БОРЩІВ, Шевченка, буд.44;Мизак Мирослав Степанович;15.06.2004
1884;Кредитна спілка;23102453;"Кредитна спілка ""Єднання"" членів ВАТ "" Могилів-Подільський машзавод""";24000 ВІННИЦЬКА ОБЛАСТЬ, МОГИЛІВ-ПОДІЛЬСЬКИЙ РАЙОН МОГИЛІВ-ПОДІЛЬСЬКИЙ, Стависька, буд.48, оф.(кв.)1;Шевякова  Світлана Святославівна;15.06.2004
1885;Кредитна спілка;22360070;"Кредитна спілка ""Взаємопоміч""";80105 ЛЬВІВСЬКА ОБЛАСТЬ, ЧЕРВОНОГРАД, МІСТО ЧЕРВОНОГРАД, І.Богуна, буд.1;Семич  Василь Дмитрович;15.06.2004
1886;Фінансова компанія;32921709;"Приватне акціонерне товариство ""Фінансова компанія ""Сантанна""";01135 КИЇВ, КИЇВ 135, Андрющенка, буд.4-Д;Антоневський Володимир Казимирович,;04.06.2004
1887;Фінансова компанія;32487273;"Товариство з обмеженою відповідальністю ""Арма Факторинг""";03150 КИЇВ, КИЇВ 150, Євгена Коновальця, буд.3, оф.(кв.)21;Галагуз Тетяна Сергіївна;04.06.2004
1888;Ломбард;30631919;"Повне товариство ""Ломбард ""Україна"" Учасники - Товариство з додатковою відповідальністю ""Страхова компанія ""Всесвіт"" та Товариство з обмеженою відповідальністю ""Предславинське""";03186 КИЇВ, КИЇВ 186, бульвар Чоколівський, буд.19-А;Смичков Олександр Ігорович;04.06.2004
1889;Кредитна спілка;26034387;КРЕДИТНА СПІЛКА “ДІЯ”;15600 ЧЕРНІГІВСЬКА ОБЛАСТЬ, МЕНСЬКИЙ РАЙОН МЕНА, ЧЕРНІГІВСЬКИЙ ШЛЯХ, буд.2, оф.(кв.)3;Пилипенко Валентина Миколаївна;04.06.2004
1890;Кредитна спілка;25930065;"Кредитна спілка ""Кредитна спілка профспілок УМВС України в Рівненській області""";33028 РІВНЕНСЬКА ОБЛАСТЬ, РІВНЕ, МІСТО РІВНЕ, М.Хвильового, буд.2;Булгакова Надія Юріївна;04.06.2004
1891;Кредитна спілка;25825186;"Кредитна спілка ""Галицька""";77100 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, ГАЛИЦЬКИЙ РАЙОН ГАЛИЧ, Майдан Різдва, буд.30;Криса Ореста Теодорівна;04.06.2004
1892;Кредитна спілка;25782021;"Кредитна спілка ""Добра справа""";46001 ТЕРНОПІЛЬСЬКА ОБЛАСТЬ, ТЕРНОПІЛЬ, МІСТО ТЕРНОПІЛЬ, Замкова, буд.14, оф.(кв.)314;Лайпа Олександр Володимирович;04.06.2004
1893;Кредитна спілка;25650489;"Кредитна cпілка ""Добробут""";74900 ХЕРСОНСЬКА ОБЛАСТЬ, НОВА КАХОВКА, МІСТО НОВА КАХОВКА, Соборна, буд.33А;Гончаров Петро Дмитрович;04.06.2004
1894;Кредитна спілка;25607298;"Кредитна спілка ""Схід""";83086 ДОНЕЦЬКА ОБЛАСТЬ, ДОНЕЦЬК, МІСТО ДОНЕЦЬК, Кобозєва, буд.3;Тищенко Микола Анатолійович;04.06.2004
1895;Кредитна спілка;25598352;Кредитна  спілка “Станіславська”;76019 ІВАНО-ФРАНКІВСЬКА ОБЛАСТЬ, ІВАНО-ФРАНКІВСЬК, МІСТО ІВАНО-ФРАНКІВСЬК, Заклинських, буд.1, 1;Шатирко  Галина Григорівна;04.06.2004
1896;Кредитна спілка;25011192;"Кредитна спілка ""Центральна""";49008 ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ, ДНІПРОПЕТРОВСЬК, МІСТО ДНІПРОПЕТРОВСЬК, Криворізька, буд.1;Бєтєва Тамара  Вікторівна;04.06.2004
